file,title,brand,model,generation,price_usd,market_price_usd,description,year,gearbox,engine_volume,engine_type,mileage,body,drive,color,power_hp,fuel_consumption
119835207.html,"Geely Xingyue L I · Рестайлинг, 2025 г., 2,0 л., бензин, автомат, купить в Островце - цена 33800 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №119835207",Geely,Xingyue L,I · Рестайлинг,33800.0,34320.0,"Отличное состояние автомобиля,без пробега по РБ!!!Кузов покрыт стеклокерамикой!!! - Полностью Русифицирован (все три экрана, все функции на русском), установлены все необходимые приложения такие как Яндекс-музыка, Яндекс-Карты,  Кинопоиск, Telegram, ivi и многие другие; - Коврики салона и багажника в комплекте;-  Шторка багажного отдела в комплекте.R-20 колёса;- автозапуск двигателя;- Сделано первичное ТО (замена масла, фильтра).Год выпуска 2024, модельный ряд 2025 года.Разумный торг!!!Обмен не интересен.Помощь в продаже не нужна.",2025.0,автомат,2.0,бензин,7800.0,внедорожник 5 дв.,подключаемый полный привод,зелёный,238.0,8.6
119888055.html,"Geely Xingyue L I, 2021 г., 2,0 л., бензин, автомат, купить в Минске - цена 27500 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №119888055",Geely,Xingyue L,I,27500.0,25925.0,,2021.0,автомат,2.0,бензин,52000.0,внедорожник 5 дв.,передний привод,синий,238.0,7.7
119898464.html,"Ford S-MAX II · Рестайлинг, 2020 г., 2,0 л., дизель, автомат, купить в Минске - цена 23950 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №119898464",Ford,S-MAX,II · Рестайлинг,23950.0,22031.0,"Авто пригнан из Германии,апрель 2023, приобретен у частного лица,не бит,не крашен.Пробег исключительно трассовый.Комплектация ST-Line!!! 2.0 дизель.190 л.с.Акпп Asin, Чёрный потолок,Full Led оптика,переключение с ближнего на дальний автоматически,также включение птф при повороте,система мониторинга слепых зон,движение по полосам, распознавание знаков, торможение перед препятствием, зимний пакет,вебасто с пультом,электро фаркоп,камера перед и зад,система авто парковки,премиальная акустика SONY,управление с телефона,эл.багажник с функцией взмаха ноги,безключевой доступ,все ключи,обогрев руля,сидений, лобового стекла. Литые диски - зима с резиной шипованной Nokian, плюс оригинальные диски R-18 ST-Line с летней резиной, комплект  фирменных ковриков форд,так же отдам запчасти( которые были куплены в Европе про запас-заднюю ступицу в сборе новую-оригинал,диски тормозные передние новые оригинал),заменен к-т Грм.Оригинальный,антифриз,масло в Акпп,масло Гур,задняя ступица в сборе -оригинал,новый АКБ,всё оригинал,все защиты под днищем и состояние самого металла идеальное,есть фото перед обработкой антикором,так же все документы т.о и замены Грм,также все запчасти, которые менялись имеются!Авто пригонялась для себя и досмотрена на самом высоком уровне!!!Продаётся на порядок дешевле покупки авто.Любые проверки только приветствуются!Очень комфортный,вместительный,уютный семейный автомобиль! Так же помогу в дальнейшем обслуживании,в приобретении только оригинальных запчастей - по цене в два,а то и в три раза дешевле нашего рынка!!!",2020.0,автомат,2.0,дизель,234000.0,,передний привод,серебристый,190.0,5.3
120364812.html,"Hyundai i10 I, 2008 г., 1,1 л., бензин, механика, купить в Минске - цена 4450 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №120364812",Hyundai,i10,I,4450.0,3664.0,"продаётся отличный автомобиль hyundai i10 эксплуатировала девушка ездила аккуратно новый АКБ тормозные колодки с дисками замена масла каждые 8.000, оригинальный пробег, ржавчины нет, работает мотор ровно",2008.0,механика,1.1,бензин,229203.0,хэтчбек 5 дв.,передний привод,бордовый,67.0,5.0
120597629.html,"Mercedes-Benz GLE Coupe C167, 2020 г., 2,9 л., дизель, автомат, купить в Минске - цена 75800 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №120597629",Mercedes-Benz,GLE Coupe,C167,75800.0,86613.0,Мерседес  GLE 400D330 лсАвто из Южной КореиХорошее внешнее и техническое состояниеНе требует вложенийВсе возможные опции и ассистентыПневма подвескаКамеры 360ПанорамаПодогрев и вентиляция сиденийАвто оклеено в пленку в стиле Майбах (такая только одна)Фары / Маникюрные зоны / зоны риска / панорама  - в пленкеЗадняя полусфера тонированаПодробности по телефонуАвтохаусам просьба не беспокоить. Обмен не интересует,2020.0,автомат,2.9,дизель,106500.0,внедорожник 5 дв.,постоянный полный привод,другой,330.0,8.0
122241265.html,"Citroen DS3 I, 2015 г., 1,6 л., дизель, механика, купить в Минске - цена 9700 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №122241265",Citroen,DS3,I,9700.0,,"Автомобиль обслужен, в родном окрасе. Авто из Франции. В РБ один год. Отличный вариант для молодежи.",2015.0,механика,1.6,дизель,193000.0,хэтчбек 3 дв.,передний привод,серебристый,92.0,3.7
122267163.html,"Renault Grand Espace IV, 2002 г., 2,2 л., дизель, механика, купить в Минске - цена 6400 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №122267163",Renault,Grand Espace,IV,6400.0,5275.0,"Grand Espace (длинная база)Коробка 6-ти ступенчатая, средний расход 8, зимой 9л.Кузов в отличном состоянии.Передние крылья, крышка багажника - пластиковая.Капот и двери - алюминиевые.Проводимые работы:-Двигатель контрактный - заменён 2 года назад, попутно заменились вкладыши и проведён ремонт турбины.-Комплект сцепления-Крайнее ТО 6 тыс км назад.-Насос ГУР- заменён.-Датчики ABS - заменены-Ступичный передний - заменён-Стойки передние обе в сборе -Втулки, шаровые опоры - по подвеске сделано всё.-Блок ручника с тросами Фары обе новые - не хватало света.Ошибок на панели нет ни одной, всё работает.2 комплекта ключейШторки на 2 и 3 ряд сидений2х зонный климат, регулировки задних пассажиров работают. Кондиционер заправлен. Торг присутствует.",2002.0,механика,2.2,дизель,356747.0,,передний привод,синий,150.0,9.1
122267167.html,"Citroen C5 I · Рестайлинг, 2007 г., 2,0 л., бензин, механика, купить в Молодечно - цена 5000 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №122267167",Citroen,C5,I · Рестайлинг,5000.0,4550.0,Хорошее состояние. Уместен небольшой торг.,2007.0,механика,2.0,бензин,465800.0,лифтбек,передний привод,серый,140.0,8.0
122620129.html,"Volkswagen Arteon I, 2019 г., 2,0 л., бензин, автомат, купить в Минске - цена 29500 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №122620129",Volkswagen,Arteon,I,29500.0,26354.0,"Автомобиль привезён из США. Всё работает, ошибок нет. Было частично окрашено заднее правое крыло, остальная часть кузова - в заводском окрасе. С этим ярким желтым цветом точно не останетесь незамеченным на дороге:)! Автомобиль ухожен, вложений не требует. Все вопросы по телефону, минимальный торг при осмотре уместен.",2019.0,автомат,2.0,бензин,94000.0,лифтбек,подключаемый полный привод,жёлтый,272.0,10.2
123055995.html,"Ford Escape IV, 2020 г., 1,5 л., бензин, автомат, купить в Витебске - цена 18600 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №123055995",Ford,Escape,IV,18600.0,17338.0,"Торговые площадки просьба не беспокоить. Автомобиль из США с пробегом 13тыс.миль,без пробега по РБ. Комплектация SE , русифоцирован, два оригинальных ключа, подключаемый полный привод,  климат-контроль, круиз-контроль, кодовый замок, удержание в полосе,предупреждение столкновения, слепые зоны, электропривод водительского сидения, камера заднего вида, сенсорная мультимедиа, авто-свет, подогрев зеркал,подогрев сидений, безключевой доступ,тонировка AS3, USB, Android Auto, CarPlay, Bluetooth,голосовое управление,5-режимов езды.Торг после осмотра. Автомобиль находится в Городке, 25км от Витебска.Возможен обмен на Opel Vivaro ,Renault Trafic 1,9.",2020.0,автомат,1.5,бензин,21600.0,внедорожник 5 дв.,подключаемый полный привод,синий,180.0,8.4
123629900.html,"Volkswagen Passat CC I, 2011 г., 2,0 л., дизель, робот, купить в Гродно - цена 14600 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №123629900",Volkswagen,Passat CC,I,14600.0,9449.0,"VW Passat CC R-Line Самая мощная и надежная связка в линейке дизель 170 л.с + DSG DQ250 с мокрым сцеплением.Редкая комплектация:– заводской полный R-Line снаружи и внутри (бампера, пороги, руль, фонари, колесные диски)– заводская тонировка задней полусферы AS3– комбинированный салон, идеальное сочетание для жары и холода (алькантара+кожа)– топовая музыка Dynaudio– бесключевой доступ (все двери), кнопка старт-стоп– датчик света– датчик дождя– адаптивная подвеска с тремя режимами жесткости амортизаторов – autohold– адаптивный круиз-контроль, с возможностью выбора дистанции до впереди идущего авто, самостоятельным торможением и ускорением– самостоятельное движение в пробке– парктроники перед/зад– камера заднего вида– ассистент парковки (сама паркуется)– адаптивные ксеноновые фары (линза крутится в сторону поворота) + подсветка поворотов не противотуманками, а доп секцией в фаре + coming home– подогрев сидений и зеркал– розетка 220 V– 2 комплекта ковриков– охлаждаемый бардачок– подрулевые лепестки Tiptronic– Bluetooth аудио – дополнительный электрический отопитель– омыватели фар– открытие багажника с брелка– обогреваемые форсунки стеклоомывателя– подсветка ног снаружи И многое другоеДвс и акпп st1 ~ 215 лс0-100 6.8Тормоза ATE с перфорацией и насечкамиОригинальный пробегClean Look крышки багажникаДва комплекта резиныРассмотрю продажу в лизингТорг",2011.0,робот,2.0,дизель,289000.0,седан,передний привод,чёрный,170.0,5.5
124175391.html,"BMW X5 G05, 2021 г., 2,0 л., дизель, автомат, купить в Минске - цена 54000 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №124175391",BMW,X5,G05,54000.0,67157.0,"В отличном состоянии, полностью обслужена. Покупалась новой в 2021г. в автоцентре Автоидея г.Минск. C машиной отдам 2 комплекта колес, лето R20 разноширокие на новой резине, зима R19. Площадки и автохаусы просьба не беспокоить! Торг.",2021.0,автомат,2.0,дизель,165000.0,внедорожник 5 дв.,постоянный полный привод,чёрный,231.0,6.2
124304629.html,"Audi A3 8V, 2014 г., 1,8 л., бензин, робот, купить в Минске - цена 14850 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №124304629",Audi,A3,8V,14850.0,16440.0,"Автомобиль в очень хорошем состоянии , без пробега по РБ  . Из СШАOdometer : 102 946 mi (165 676 km) .Любые проверки за ваш счет . Все расходники заменены :все тех. жидкости включая фильтра и масло в ДВС  ( документы с СТО прилагаются ) . Практически новые летние шины .Развал-схождение в идеале .Салон в хорошем опрятном состоянии . ISOFIX . Автомобиль находится в г.Минске , возможен торг в пределах разумного .VIN : WAUACGFF4F1012569P.S - убедительная просьба автомагазинам не беспокоить .",2014.0,робот,1.8,бензин,164153.0,седан,передний привод,чёрный,180.0,5.6
124384657.html,"FAW Bestune NAT, 2023 г., л., электро, автомат, купить в Минске - цена 12300 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №124384657",FAW,Bestune NAT,I,12300.0,13595.0,"Хороший вместительный автомобиль подходит как для семейный поездок, так и для корпоративного транспорта ,комплектация:PRO 425КМ.Дваконнектора для зарядки: левое крыло: порт GВT, правое крыло - порт gbt ac .Электродверь исправна и отлично работает,возможен как расчет наличными так и лизинг кредит , все интересующие вопросы по телефону.",2023.0,автомат,,электро,425.0,,передний привод,белый,163.0,
124704760.html,"Geely Tugella I · Рестайлинг, 2023 г., 2,0 л., бензин, автомат, купить в Минске - цена 26800 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №124704760",Geely,Tugella,I · Рестайлинг,26800.0,28177.0,"Tugella 2023 года выпуска,  Luxury (чернорест), на официальной гарантии до 2027 года, с первого дня и по сей день на каско, без ДТП, проблем и прочих нюансов. К машине будет два комплекта шин (зима/лето), два комплекта ковриков (зима/лето) и коврик в багажник. Допы по машине:- установлены AS3 стекла на задней полусфера, а это значительно лучше чем тонировка пленкой;- установлен регистратор в штатное место;-  проведена антикоррозийная обработка днища и скрытых полостей;- проведена оклейка фар и проблемных мест пленкой;- установлена защита радиатора в бампер;-  проведена прошивка головного устройства командой  GMCustom, что значительно улучшило акустику и добавило дополнительные фишки - функция теплые опции (автозапуски подогревов), я.навигатор, я. музыка, голосовой ассистент для запуска приложений и управление функциями авто, вывод навигации на приборную панель, возможность самостоятельно устанавливать приложения на ГУ и многое другое). Пройдено 5ТО, ближайшие 10 000км ничего с машиной делать не надо.Машина в ежедневной эксплуатации, в салоны не поставлю.",2023.0,автомат,2.0,бензин,49000.0,внедорожник 5 дв.,подключаемый полный привод,чёрный,238.0,8.1
124718609.html,"Mazda MPV II, 7 мест, 2000 г., 2,0 л., бензин (пропан-бутан), механика, купить в Минске - цена 1500 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №124718609",Mazda,MPV,II,1500.0,3005.0,Полностью в рабочем состоянии+донор за всё 1500. Доки на утиль.,2000.0,механика,2.0,бензин,450000.0,,передний привод,серебристый,122.0,10.1
124916511.html,"Nissan Qashqai II, 2015 г., 1,5 л., дизель, механика, купить в Минске - цена 15600 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №124916511",Nissan,Qashqai,II,15600.0,15112.0,"Комплектация TEKNA GRADE (Европа), пробег по РБ с июля 2500 км, зимой не ездил, в родном окрасе, кожаный салон, камеры 360, слепые зоны, подогревы сидений и лобового,  заводской ксенон с омыватем фар, зимняя резина, К9К простой и недорогой в обслуживании двигатель, без адблю. Был ремонт трёх форсунок и одну новую поставили, новый регулятор топлива, новый моторчик печки. Я владелец авто, в помощи продажи не нуждаюсь. Снята с учёта. Кредит, лизинг.  Можно через любой автохаус.",2015.0,механика,1.5,дизель,190000.0,внедорожник 5 дв.,передний привод,чёрный,110.0,3.8
124932586.html,"Skoda Octavia III, 2014 г., 1,8 л., бензин, робот, купить в Логойске - цена 13500 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №124932586",Skoda,Octavia,III,13500.0,10908.0,"Шкода Октавия 2014 г.в. бензин 1.8л, 180 л.с, КПП автомат DSG 7, машина в идеальном состоянии и в хорошей комплектации, сел и поехал. Стоят новые летние шины. Наклеена бронеплёнка на уязвимые места. (Крыша, фары, пороги и капот). Обслуживалась в Audi сервисе Серова 1. Документы на обслуживание имеются. Комплект новых зимних шин отдам в подарок !!!Торг у капота.",2014.0,робот,1.8,бензин,258434.0,лифтбек,передний привод,коричневый,180.0,6.1
125017778.html,"Dacia Logan I, 2006 г., 1,4 л., бензин, механика, купить в Борисове - цена 1000 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №125017778",Dacia,Logan,I,1000.0,1735.0,"По ходовой нормально, с кузовом беда. В нагрузку отдам 3 двери, капот, багажник. Без торга!!! Машину еще никто не смотрел.",2006.0,механика,1.4,бензин,400000.0,седан,передний привод,зелёный,75.0,6.8
125117943.html,"Mazda CX-5 II · Рестайлинг, 2022 г., 2,5 л., бензин, автомат, купить в Минске - цена 31550 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №125117943",Mazda,CX-5,II · Рестайлинг,31550.0,29953.0,"В продаже надёжный, ухоженный кроссовер Mazda CX-5 2022 года выпуска.Автомобиль в идеальном состоянии.Надёжный атмосферный мотор, полный привод, 6-ступенчатый автомат (классический гидротрансформатор Aisin), ходят долго и без проблем. Тем более, что это авто японской сборки.Просторный багажник, + задний ряд складывается в диван. Салон чистый, без запахов и потёртостей. Отличная комплектация (автоматический дальний свет, адаптивный круиз-контроль, мертвые-зоны, удержание в полосе и т.д.), два ключа, обслуживание строго по регламенту.Полный пакет документов.Возможно приобретение авто в лизинг без первого взноса.Не требует вложений.  Торг.",2022.0,автомат,2.5,бензин,49500.0,внедорожник 5 дв.,постоянный полный привод,чёрный,194.0,
125130661.html,"Mercedes-Benz A-Класс W177, V177, 2019 г., 2,0 л., бензин, робот, купить в Могилеве - цена 23500 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №125130661",Mercedes-Benz,A-Класс,"W177, V177",23500.0,24650.0,"2019 год в родной краске . Из сша с минимальными повреждениями.Полностью обслужена ,сделано ТО. Идеальное состояние ,ambient подсветка салона ,расширенный большой дисплей,панорама/люк ,дистроник,память сидений и тд. Идеальное состояние-любые проверки !",2019.0,робот,2.0,бензин,75000.0,хэтчбек 5 дв.,передний привод,белый,224.0,6.0
125446038.html,"Mercedes-Benz E-Класс W124, S124, C124, A124 · Рестайлинг, 1994 г., 2,0 л., дизель, механика, купить в Осиповичах - цена 2200 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №125446038",Mercedes-Benz,E-Класс,"W124, S124, C124, A124 · Рестайлинг",2200.0,2188.0,Автомобиль в хорошем состоянии.,1994.0,механика,2.0,дизель,600000.0,седан,задний привод,жёлтый,75.0,6.8
125476484.html,"BMW 7 серия G12 (Long) · Рестайлинг, 2020 г., 3,0 л., бензин, автомат, купить в Могилеве - цена 59000 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №125476484",BMW,7 серия,G12 (Long) · Рестайлинг,59000.0,49458.0,"Продаю свое авто. Один хозяин в РБ. Пригнана из Кореи. Максимальная комплектация. Бмв 740 long на надежном 3-х литровом моторе B58Автомобиль в отличном состоянии .Нанесена 3-х компонентная  керамика В максимальной комплектации со звездным небом .Массажи на всех сиденьяхАвтомобиль после полного ТО установлен Carbon Core BMW. Вложений нe тpeбуeтся .комфopтный бесключевой доступ; доводчики всех дверей ;комфорт сиденья с обогревом , вентиляцией , массажем и памятью ; ароматизация ; премиальная аудио система hаrmаn kаrdоn ; панорамный люк SКY LОUNGЕ; активный круиз (сама едет ) ; проекция на лобовое , система управления жестами ; солнцезащитные шторки в задних дверях; открытие багажника без помощи рук ; камеры 360 с ассистентами, датчик слепых зон , датчики препятствия, датчик столкновения и т.д. Все детали в заводском состоянии . Все стекла родные .",2020.0,автомат,3.0,бензин,117000.0,седан,постоянный полный привод,чёрный,340.0,8.4
125633906.html,,,,,,,,,,,,,,,,,
125655025.html,"Dacia Duster II · Рестайлинг, 2022 г., 1,0 л., бензин, механика, купить в Мозыре - цена 15000 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №125655025",Dacia,Duster,II · Рестайлинг,15000.0,16888.0,"07.2022 год!!! Оригинальный пробег, гарантия 100%!!! Кузов в оригинале, все элементы в заводском исполнении!!! Dacia Duster II Рестайлинг.В Европе хит, аналогов в своем класе нету, лучшее сочетание цены, качества и надежности. Без пробега по РБ.  из Европы. Дата растаможки в РБ2025/08/01 (Авто растаможен Без Льгот, по полной ставке).Проходной на РФ ( 101 л.с.)Технические характеристики:* Двигатель: 1.0-литровый турбодвигатель Рено H4Dt (1.0 TCe 101 л.с.), цепной привод ГРМ* Расход топлива: 5,5 л.* Коробка передач: 6 МКПП.Оснащение:* Заводская LED-оптика.* Сенсорная мультимедиа с Android Auto и iPhone Car Play.* Полный электропакет.* Зимние шины Goodyear.* Тонировка.* Круиз-контроль.* Русифицированное меню.Автосалоны не рассматриваю",2022.0,механика,1.0,бензин,88500.0,внедорожник 5 дв.,передний привод,чёрный,,
126003373.html,"Mazda 323F BJ · Рестайлинг, 2002 г., 2,0 л., дизель, механика, купить в Борисове - цена 3000 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №126003373",Mazda,323F,BJ · Рестайлинг,3000.0,1625.0,"Автомобиль каждый день на ходу, технически полностью исправен, серьезных неисправностей нет.﻿Имеются незначительные дефекты кузова («жучки»). Днище целое, состояние хорошее.﻿Были проведены замены: колодок в круг, салентблоки передний рычагов, тормозные передние диски, все масла, ГРМ,  рулевые наконечники, ступицы, стойки стабилизатора, рулевые тяги, шаровые опоры, втулки стабилизатора. За подробностями обращайтесь по телефону или напишите сообщение. Обсудим любые интересующие вас моменты и покажу машинуТорг у капота!!!",2002.0,механика,2.0,дизель,374000.0,хэтчбек 5 дв.,передний привод,серый,101.0,5.8
