brand,model,year,mileage,engine_volume,engine_type,gearbox,drive,body,color,power_hp,fuel_consumption,price_usd,market_price_usd,description,nlp_engine_bad,nlp_engine_fixed,nlp_gearbox_bad,nlp_gearbox_fixed,nlp_body_bad,nlp_body_fixed,nlp_service_good,nlp_service_bad,nlp_storage_risk,nlp_taxi_risk,nlp_condition_score,nlp_repair_risk,defect_cost_mean_usd,defect_issue_probability_pct,defect_price_impact_pct,defect_model_risk_score,defect_generation_avg_cost_usd,defect_expected_cost_usd,defect_total_risk_score,price_gap
geely,xingyue l,2025.0,7800.0,2.0,бензин,автомат,подключаемый полный привод,внедорожник 5 дв.,зелёный,238.0,8.6,33800.0,34320.0,"отличное состояние автомобиля,без пробега по рб!!!кузов покрыт стеклокерамикой!!! - полностью русифицирован (все три экрана, все функции на русском), установлены все необходимые приложения такие как яндекс-музыка, яндекс-карты,  кинопоиск, telegram, ivi и многие другие; - коврики салона и багажника в комплекте;-  шторка багажного отдела в комплекте.r-20 колёса;- автозапуск двигателя;- сделано первичное то (замена масла, фильтра).год выпуска 2024, модельный ряд 2025 года.разумный торг!!!обмен не интересен.помощь в продаже не нужна.",0,0,0,0,0,0,0,0,0,1,95,10,314.0,25.0,5.0,0.45,320.0,78.5,0.005625000000000001,520.0
geely,xingyue l,2021.0,52000.0,2.0,бензин,автомат,передний привод,внедорожник 5 дв.,синий,238.0,7.7,27500.0,25925.0,,0,0,0,0,0,0,0,0,0,0,65,40,321.6666666666667,27.083333333333332,5.416666666666667,0.47916666666666674,331.6666666666667,87.11805555555556,0.007029441550925927,-1575.0
hyundai,i10,2008.0,229203.0,1.1,бензин,механика,передний привод,хэтчбек 5 дв.,бордовый,67.0,5.0,4450.0,3664.0,"продаётся отличный автомобиль hyundai i10 эксплуатировала девушка ездила аккуратно новый акб тормозные колодки с дисками замена масла каждые 8.000, оригинальный пробег, ржавчины нет, работает мотор ровно",0,0,0,0,0,0,0,0,0,0,95,10,89.0625,33.5,4.5625,0.30000000000000004,140.0,29.835937500000004,0.004585312500000001,-786.0
mercedes-benz,gle coupe,2020.0,106500.0,2.9,дизель,автомат,постоянный полный привод,внедорожник 5 дв.,другой,330.0,8.0,75800.0,86613.0,мерседес  gle 400d330 лсавто из южной кореихорошее внешнее и техническое состояниене требует вложенийвсе возможные опции и ассистентыпневма подвескакамеры 360панорамаподогрев и вентиляция сиденийавто оклеено в пленку в стиле майбах (такая только одна)фары / маникюрные зоны / зоны риска / панорама  - в пленкезадняя полусфера тонированаподробности по телефонуавтохаусам просьба не беспокоить. обмен не интересует,0,0,0,0,0,0,0,0,0,0,95,10,728.5714285714286,53.714285714285715,4.142857142857143,0.5650000000000002,1053.5714285714287,391.3469387755102,0.01257297959183674,10813.0
citroen,c5,2007.0,465800.0,2.0,бензин,механика,передний привод,лифтбек,серый,140.0,8.0,5000.0,4550.0,хорошее состояние. уместен небольшой торг.,0,0,0,0,0,0,0,0,0,0,85,15,250.0,24.75,5.5,0.53,520.0,61.875,0.0072146250000000006,-450.0
volkswagen,arteon,2019.0,94000.0,2.0,бензин,автомат,подключаемый полный привод,лифтбек,жёлтый,272.0,10.2,29500.0,26354.0,"автомобиль привезён из сша. всё работает, ошибок нет. было частично окрашено заднее правое крыло, остальная часть кузова - в заводском окрасе. с этим ярким желтым цветом точно не останетесь незамеченным на дороге:)! автомобиль ухожен, вложений не требует. все вопросы по телефону, минимальный торг при осмотре уместен.",0,0,0,0,0,0,0,0,0,0,85,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3146.0
ford,escape,2020.0,21600.0,1.5,бензин,автомат,подключаемый полный привод,внедорожник 5 дв.,синий,180.0,8.4,18600.0,17338.0,"торговые площадки просьба не беспокоить. автомобиль из сша с пробегом 13тыс.миль,без пробега по рб. комплектация se , русифоцирован, два оригинальных ключа, подключаемый полный привод,  климат-контроль, круиз-контроль, кодовый замок, удержание в полосе,предупреждение столкновения, слепые зоны, электропривод водительского сидения, камера заднего вида, сенсорная мультимедиа, авто-свет, подогрев зеркал,подогрев сидений, безключевой доступ,тонировка as3, usb, android auto, carplay, bluetooth,голосовое управление,5-режимов езды.торг после осмотра. автомобиль находится в городке, 25км от витебска.возможен обмен на opel vivaro ,renault trafic 1,9.",0,0,0,0,0,0,0,0,0,0,85,20,205.0,26.5,4.625,0.42,360.0,54.325,0.005147624999999999,-1262.0
volkswagen,passat cc,2011.0,289000.0,2.0,дизель,робот,передний привод,седан,чёрный,170.0,5.5,14600.0,9449.0,"vw passat cc r-line самая мощная и надежная связка в линейке дизель 170 л.с + dsg dq250 с мокрым сцеплением.редкая комплектация:– заводской полный r-line снаружи и внутри (бампера, пороги, руль, фонари, колесные диски)– заводская тонировка задней полусферы as3– комбинированный салон, идеальное сочетание для жары и холода (алькантара+кожа)– топовая музыка dynaudio– бесключевой доступ (все двери), кнопка старт-стоп– датчик света– датчик дождя– адаптивная подвеска с тремя режимами жесткости амортизаторов – autohold– адаптивный круиз-контроль, с возможностью выбора дистанции до впереди идущего авто, самостоятельным торможением и ускорением– самостоятельное движение в пробке– парктроники перед/зад– камера заднего вида– ассистент парковки (сама паркуется)– адаптивные ксеноновые фары (линза крутится в сторону поворота) + подсветка поворотов не противотуманками, а доп секцией в фаре + coming home– подогрев сидений и зеркал– розетка 220 v– 2 комплекта ковриков– охлаждаемый бардачок– подрулевые лепестки tiptronic– bluetooth аудио – дополнительный электрический отопитель– омыватели фар– открытие багажника с брелка– обогреваемые форсунки стеклоомывателя– подсветка ног снаружи и многое другоедвс и акпп st1 ~ 215 лс0-100 6.8тормоза ate с перфорацией и насечкамиоригинальный пробегclean look крышки багажникадва комплекта резинырассмотрю продажу в лизингторг",0,0,0,0,0,0,0,0,0,0,92,15,454.2857142857143,52.0,4.142857142857143,0.5300000000000001,671.4285714285714,236.22857142857143,0.01141771428571429,-5151.0
bmw,x5,2021.0,165000.0,2.0,дизель,автомат,постоянный полный привод,внедорожник 5 дв.,чёрный,231.0,6.2,54000.0,67157.0,"в отличном состоянии, полностью обслужена. покупалась новой в 2021г. в автоцентре автоидея г.минск. c машиной отдам 2 комплекта колес, лето r20 разноширокие на новой резине, зима r19. площадки и автохаусы просьба не беспокоить! торг.",0,0,0,0,0,0,1,0,0,0,95,10,700.0,28.333333333333332,6.0,0.6,700.0,198.33333333333331,0.010199999999999999,13157.0
audi,a3,2014.0,164153.0,1.8,бензин,робот,передний привод,седан,чёрный,180.0,5.6,14850.0,16440.0,"автомобиль в очень хорошем состоянии , без пробега по рб  . из сшаodometer : 102 946 mi (165 676 km) .любые проверки за ваш счет . все расходники заменены :все тех. жидкости включая фильтра и масло в двс  ( документы с сто прилагаются ) . практически новые летние шины .развал-схождение в идеале .салон в хорошем опрятном состоянии . isofix . автомобиль находится в г.минске , возможен торг в пределах разумного .vin : wauacgff4f1012569p.s - убедительная просьба автомагазинам не беспокоить .",0,0,0,0,0,0,0,0,0,0,92,10,531.25,26.25,5.375,0.5,462.5,139.453125,0.0070546875,1590.0
geely,tugella,2023.0,49000.0,2.0,бензин,автомат,подключаемый полный привод,внедорожник 5 дв.,чёрный,238.0,8.1,26800.0,28177.0,"tugella 2023 года выпуска,  luxury (чернорест), на официальной гарантии до 2027 года, с первого дня и по сей день на каско, без дтп, проблем и прочих нюансов. к машине будет два комплекта шин (зима/лето), два комплекта ковриков (зима/лето) и коврик в багажник. допы по машине:- установлены as3 стекла на задней полусфера, а это значительно лучше чем тонировка пленкой;- установлен регистратор в штатное место;-  проведена антикоррозийная обработка днища и скрытых полостей;- проведена оклейка фар и проблемных мест пленкой;- установлена защита радиатора в бампер;-  проведена прошивка головного устройства командой  gmcustom, что значительно улучшило акустику и добавило дополнительные фишки - функция теплые опции (автозапуски подогревов), я.навигатор, я. музыка, голосовой ассистент для запуска приложений и управление функциями авто, вывод навигации на приборную панель, возможность самостоятельно устанавливать приложения на гу и многое другое). пройдено 5то, ближайшие 10 000км ничего с машиной делать не надо.машина в ежедневной эксплуатации, в салоны не поставлю.",0,0,0,0,0,0,0,0,0,0,98,10,323.75,29.375,5.375,0.55,360.0,95.1015625,0.008683984375,1377.0
nissan,qashqai,2015.0,190000.0,1.5,дизель,механика,передний привод,внедорожник 5 дв.,чёрный,110.0,3.8,15600.0,15112.0,"комплектация tekna grade (европа), пробег по рб с июля 2500 км, зимой не ездил, в родном окрасе, кожаный салон, камеры 360, слепые зоны, подогревы сидений и лобового,  заводской ксенон с омыватем фар, зимняя резина, к9к простой и недорогой в обслуживании двигатель, без адблю. был ремонт трёх форсунок и одну новую поставили, новый регулятор топлива, новый моторчик печки. я владелец авто, в помощи продажи не нуждаюсь. снята с учёта. кредит, лизинг.  можно через любой автохаус.",0,1,0,0,0,0,0,0,0,0,88,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-488.0
skoda,octavia,2014.0,258434.0,1.8,бензин,робот,передний привод,лифтбек,коричневый,180.0,6.1,13500.0,10908.0,"шкода октавия 2014 г.в. бензин 1.8л, 180 л.с, кпп автомат dsg 7, машина в идеальном состоянии и в хорошей комплектации, сел и поехал. стоят новые летние шины. наклеена бронеплёнка на уязвимые места. (крыша, фары, пороги и капот). обслуживалась в audi сервисе серова 1. документы на обслуживание имеются. комплект новых зимних шин отдам в подарок !!!торг у капота.",0,0,0,0,0,0,0,0,0,0,95,10,485.0,53.714285714285715,4.142857142857143,0.5399999999999999,715.7142857142857,260.51428571428573,0.01201665306122449,-2592.0
dacia,logan,2006.0,400000.0,1.4,бензин,механика,передний привод,седан,зелёный,75.0,6.8,1000.0,1735.0,"по ходовой нормально, с кузовом беда. в нагрузку отдам 3 двери, капот, багажник. без торга!!! машину еще никто не смотрел.",0,0,0,0,0,0,0,0,0,0,30,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0
mercedes-benz,a-класс,2019.0,75000.0,2.0,бензин,робот,передний привод,хэтчбек 5 дв.,белый,224.0,6.0,23500.0,24650.0,"2019 год в родной краске . из сша с минимальными повреждениями.полностью обслужена ,сделано то. идеальное состояние ,ambient подсветка салона ,расширенный большой дисплей,панорама/люк ,дистроник,память сидений и тд. идеальное состояние-любые проверки !",0,0,0,0,0,0,1,0,0,0,95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0
mercedes-benz,e-класс,1994.0,600000.0,2.0,дизель,механика,задний привод,седан,жёлтый,75.0,6.8,2200.0,2188.0,автомобиль в хорошем состоянии.,0,0,0,0,0,0,0,0,0,0,85,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0
bmw,7 серия,2020.0,117000.0,3.0,бензин,автомат,постоянный полный привод,седан,чёрный,340.0,8.4,59000.0,49458.0,"продаю свое авто. один хозяин в рб. пригнана из кореи. максимальная комплектация. бмв 740 long на надежном 3-х литровом моторе b58автомобиль в отличном состоянии .нанесена 3-х компонентная  керамика в максимальной комплектации со звездным небом .массажи на всех сиденьяхавтомобиль после полного то установлен carbon core bmw. вложений нe тpeбуeтся .комфopтный бесключевой доступ; доводчики всех дверей ;комфорт сиденья с обогревом , вентиляцией , массажем и памятью ; ароматизация ; премиальная аудио система hаrmаn kаrdоn ; панорамный люк sкy lоungе; активный круиз (сама едет ) ; проекция на лобовое , система управления жестами ; солнцезащитные шторки в задних дверях; открытие багажника без помощи рук ; камеры 360 с ассистентами, датчик слепых зон , датчики препятствия, датчик столкновения и т.д. все детали в заводском состоянии . все стекла родные .",0,0,0,0,0,0,0,0,0,0,95,10,416.6666666666667,26.666666666666668,4.333333333333333,0.5,700.0,111.11111111111111,0.005777777777777777,-9542.0
mazda,323f,2002.0,374000.0,2.0,дизель,механика,передний привод,хэтчбек 5 дв.,серый,101.0,5.8,3000.0,1625.0,"автомобиль каждый день на ходу, технически полностью исправен, серьезных неисправностей нет.﻿имеются незначительные дефекты кузова («жучки»). днище целое, состояние хорошее.﻿были проведены замены: колодок в круг, салентблоки передний рычагов, тормозные передние диски, все масла, грм,  рулевые наконечники, ступицы, стойки стабилизатора, рулевые тяги, шаровые опоры, втулки стабилизатора. за подробностями обращайтесь по телефону или напишите сообщение. обсудим любые интересующие вас моменты и покажу машинуторг у капота!!!",0,0,0,0,0,0,0,0,0,0,90,10,315.7142857142857,42.857142857142854,3.0,0.46999999999999986,447.14285714285717,135.30612244897958,0.00604285714285714,-1375.0
fiat,panda,2010.0,3147777.0,1.3,дизель,механика,передний привод,хэтчбек 5 дв.,красный,75.0,4.3,2769.0,3171.0,хорошее состояние автомобиля для своих лет. в семье с 2014 года.,0,0,0,0,0,0,0,0,0,0,75,20,118.75,26.5,4.5,0.34,210.0,31.46875,0.0040545,402.0
mazda,626,1995.0,370000.0,2.5,бензин,механика,передний привод,хэтчбек 5 дв.,синий,165.0,9.5,1600.0,999.0,"собственно по машине. безусловно нуждается в ремонте кузова. в июне этого года, был осуществлен полный кап ремонт двигателя. 95% там все новое. делал полностью для себя. работает мотор очень ровно, масло после замены не хавает. в двигатель вложено около 5000 руб. торг будет незначительный, поскольку вложено в мотор.",0,0,0,0,0,0,0,0,0,0,45,70,308.57142857142856,41.142857142857146,3.142857142857143,0.44,440.0,126.95510204081633,0.005689469387755103,-601.0
li auto,l6,2025.0,109.0,1.5,бензин,автомат,постоянный полный привод,внедорожник 5 дв.,серый,408.0,6.9,43000.0,44513.0,"l6 pro. рестайлинг (с лидаром). русский язык. установлены приложения + магазин приложений. установлен слот для sim карты. проведена разблокировка.  мастер-аккаунт.в комплекте 2 ключа + механический ключ.набор ковриков+ подголовные подушки+зарядная станция в комплекте.лизинг, кредит - без проблем.",0,0,0,0,0,0,0,0,0,0,95,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1513.0
renault,duster,2013.0,163000.0,2.0,бензин,автомат,передний привод,внедорожник 5 дв.,серебристый,135.0,8.3,6800.0,8114.0,"один владелец. куплен новый в минске . живое состояние как внешне так и технически, за машиной следили, вовремя обслуживали. кузов без дтп, весь ровный. кпп свеже полностью обслужен . технически без нареканий. экология на месте . стекла, оптика целые . свеже снята с учета для удобной продажи.",0,0,0,0,0,0,1,0,0,0,95,10,400.0,49.0,4.142857142857143,0.5099999999999998,589.2857142857143,196.0,0.010352999999999996,1314.0
mercedes-benz,a-класс amg,2020.0,60000.0,2.0,бензин,робот,постоянный полный привод,хэтчбек 5 дв.,чёрный,306.0,7.4,31000.0,37318.0,"mercedes-amg a 35 4 matic sedan был привезен из сша два года назад.цена минимальная-без торга . купили авто побольше ...ваши предложения не интересны ,не пишите. идеальное состояние,полностью обслужена.проведена полная проверка у диллера (энергия ) предоставлю все документы.комплектация:цвет: «черный космос» - «металлик»салон: кожа, краснаяпакет интеграции для смартфоновинтеграция смартфона (""apple carplay"")интеграция смартфона (""android auto"")устройство дистанционного управления гаражными воротами с частотой 284 - 390 мгцсистема мониторинга ""мертвых зон""активная система облегчения паркованиясиденье водителя (правое) с электрорегулировкой положения и функцией памятинаружные и внутрисалонное зеркала заднего вида с автоматическим антибликовым регулированиемсигнализатор возможного столкновения с функцией задействования тормозной системысигнализатор опасности при высадке из а/мпакет функций памяти (сиденье водителя, рулевая колонка и зеркала)багажные сетки на спинках левого и правого сидений водителяпроем для транспортировки длинномерных грузовколенная подушка безопасностидвойной держатель для напитковдатчик дождяподлокотник в задней части салонапанорамная сдвижная панель крышитемпоматиндикация на лобовом стекле (проекционный дисплей)система контроля давления в шинах (rdk) спортивная ходовая частьскладывающиеся наружные зеркала с электроприводомвидеокамера с обзором 360°распознавание дорожных знаковобивка потолка тканевая (чёрная)спутниковое радио ""sirius"" (полный комплект) солнезащитный козырёк с допполнительной функциейсистема противоугонной сигнализации (edw), базоваясистема климат-контроляавтоматическое управление дальним светом фар (ihc)светодиодная фара с динамическим регулированием для правостороннего движения стайлинr amg: передний спойлер, накладки порогов доступ handsfreeподогрев сиденья водителя и переднего пассажира обогреваемый стеклоомывательсветодиодная подсветкаamglineпереключатель программ движения («agiliтy select»)декоративные элементы из пористой древесины черной липысуперспортивное рулевое колесо с кожаной отделкой глубокого тисненияпакет кeyless-goпакет amg ""эксклюзив""пакет систем облегчения паркования ""high""пакет зеркалпакет amg night ""экстрьер""спицевые колесные диски amg 18"", «для всех колес»сиденье переднего пассажира с функцией распознавания весавидеосистема с дополненной реальностью регулировка поясничного подпора спередиковрики для ног amgкомфорт-пакет сидений",0,0,0,0,0,0,1,0,0,0,95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6318.0
bmw,5 серия,2016.0,163000.0,2.0,бензин,автомат,постоянный полный привод,седан,белый,245.0,6.4,22000.0,22050.0,"машина в отличном состоянии, американка, пригнана в октябре 2025. новый аккумулятор. после то, аккуратный салон, тонирована, нанесена керамика. нет никаких ошибок. рулевая рейка откапиталена, на гарантии. заменено масло в раздатке и редукторах. цепь грм живая, без признаков того, что может отрыгнуться ближайшие тысяч 40-50. есть вся дилерская история с 2016-го года.",0,0,0,0,0,0,0,0,0,0,95,10,328.57142857142856,26.428571428571427,4.142857142857143,0.6142857142857141,728.5714285714286,86.83673469387755,0.006725801749271136,50.0
peugeot,5008,2022.0,151555.0,1.5,дизель,автомат,передний привод,внедорожник 5 дв.,чёрный,130.0,5.2,26750.0,22374.0,"peugeot 5008 gt 07.2022 года. 7мест в максимальной комплектации из европы в идиальном состоянии, без дтп и окрасов. оригинальный пробег. обслужена полностью без замечаний. система ночного видения с инфокрасной камерой, панорама с люком. камера 360, бесключевой доступ. чёрный потолок, панорама, люк и т д. все расписывать нет смысла. в этой комплектации есть все. звоните, пишите вайбер, вацап, мах. авто достойно вашего внимания. приветствуются любые проверки.",0,0,0,0,0,0,1,0,0,0,95,10,189.375,27.625,4.625,0.4,330.0,52.31484375,0.005110625000000001,-4376.0
bmw,5 серия,1993.0,298300.0,1.8,бензин,механика,задний привод,седан,чёрный,116.0,8.1,2000.0,1731.0,"каждый день на ходу. забрал ее и дал вторую жизнь. мотор, коробка, радиатор, тормоза, подвеска. отлично.днище есть, пороги домкратятся. по машине много всего делал. косяков хватает, на езду по городу или трассе не влияет.(возраст). минимальный торг. часто в поездках , просьба звонить только заинтересованным в покупке данного автомобиля.",0,0,0,0,0,0,0,0,0,0,65,35,278.57142857142856,28.571428571428573,4.0,0.5285714285714285,482.14285714285717,79.59183673469389,0.006040816326530612,-269.0
bmw,i3,2018.0,69000.0,0.7,бензин,автомат,задний привод,хэтчбек 5 дв.,чёрный,38.0,0.6,17600.0,17561.0,"собственник. оригинальный пробег. bmw i3 rex 11/2018 г. в. максимальная батарея 120ач (42 квт). rex - увеличенный запас хода на бензине 100+км. русифицирована. мощность электромотора - 170 л. с. дистанционный обогрев салона.европейский порт ccs2.в отличном состоянии, без скрытых дефектов и проблем. два ключа, комфортный вход, камера заднего вида, парктроники, два комплекта резины, два комплекта ковриков. торг",0,0,0,0,0,0,0,0,0,0,95,10,480.0,23.0,5.8,0.45,525.0,110.4,0.006003,-39.0
renault,megane,2001.0,297000.0,1.9,дизель,механика,передний привод,универсал,другой,102.0,5.4,2990.0,2515.0,"добротный , надежный  и недорогой в эксплуатации универсал с дизельным ,  очень экономичным  , долговечным двигателем 1.9 dci  (8-ми клапанный ), с топливной системой bosh ( не путать с системой  deifi -дорогой и сложной в обслуживании) . машина технически полностью исправна,  ручник держит , задняя щетка работает , все стекла целые, новая задняя балка , ремни , колодки , технические жидкости заменены.  новая зимняя резина r-15. заводится и работает в любую погоду . пройден техосмотр до октября 2026 года , страховка на год . в семье с 2010 года. с учета снята,  транзитные номера.  продажа по договору купли-продажи  без посредников  - автосалоны,  подборщики и прочие специалисты- не беспокоить.  приветствуются адекватные покупатели  ,  без претензий  на новый авто через 25 лет эксплуатации . авто переварен , покрашен , днище , пороги целые , никакой корозии  нет .",0,0,0,0,0,1,0,0,0,0,85,20,351.42857142857144,46.0,4.142857142857143,0.4900000000000001,514.2857142857143,161.65714285714287,0.009338000000000003,-475.0
